# file...... load_data.csv
# date...... Wed Jan 29 16:18:53 2025
# user...... (null)
# host...... (null)
# target.... meter 11
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A,measured_voltage_B, measured_current_B, measured_power_B,measured_voltage_C, measured_current_C, measured_power_C
2009-01-01 00:00:00 PST,+398.948-0.267537d,+1.75284-0.38418j,+715.893+12.0948d,+398.827-120.395d,-1.21244-1.32363j,+715.892+12.0947d,+400.689+119.636d,-1.18925+1.33335j,+715.895-12.0949d
2009-01-01 00:39:00 PST,+inf+160.302d,-nan+nanj,-nan-nand,+inf+40.233d,-nan+nanj,-nan-nand,+inf-79.5878d,-nan+nanj,-nan-nand
2009-01-01 00:40:00 PST,+inf+151.798d,-nan+nanj,-nan-nand,+inf-88.1307d,-nan+nanj,-nan-nand,+inf+31.686d,-nan+nanj,-nan-nand
2009-01-01 00:41:00 PST,+inf+160.302d,-nan+nanj,-nan-nand,+inf+40.2292d,-nan+nanj,-nan-nand,+inf-79.5833d,-nan+nanj,-nan-nand
2009-01-01 00:42:00 PST,+inf+151.799d,-nan+nanj,-nan-nand,+inf-88.1269d,-nan+nanj,-nan-nand,+inf+31.6814d,-nan+nanj,-nan-nand
2009-01-01 00:43:00 PST,+inf+160.301d,-nan+nanj,-nan-nand,+inf+40.2254d,-nan+nanj,-nan-nand,+inf-79.5788d,-nan+nanj,-nan-nand
2009-01-01 00:44:00 PST,+inf+151.8d,-nan+nanj,-nan-nand,+inf-88.1231d,-nan+nanj,-nan-nand,+inf+31.6769d,-nan+nanj,-nan-nand
2009-01-01 00:45:00 PST,+inf+160.3d,-nan+nanj,-nan-nand,+inf+40.2215d,-nan+nanj,-nan-nand,+inf-79.5743d,-nan+nanj,-nan-nand
2009-01-01 00:46:00 PST,+inf+151.801d,-nan+nanj,-nan-nand,+inf-88.1193d,-nan+nanj,-nan-nand,+inf+31.6724d,-nan+nanj,-nan-nand
2009-01-01 00:47:00 PST,+inf+160.299d,-nan+nanj,-nan-nand,+inf+40.2177d,-nan+nanj,-nan-nand,+inf-79.5697d,-nan+nanj,-nan-nand
2009-01-01 00:48:00 PST,+inf+151.801d,-nan+nanj,-nan-nand,+inf-88.1155d,-nan+nanj,-nan-nand,+inf+31.6679d,-nan+nanj,-nan-nand
2009-01-01 00:49:00 PST,+inf+160.299d,-nan+nanj,-nan-nand,+inf+40.2139d,-nan+nanj,-nan-nand,+inf-79.5652d,-nan+nanj,-nan-nand
2009-01-01 00:50:00 PST,+inf+151.802d,-nan+nanj,-nan-nand,+inf-88.1116d,-nan+nanj,-nan-nand,+inf+31.6633d,-nan+nanj,-nan-nand
2009-01-01 00:51:00 PST,+inf+160.298d,-nan+nanj,-nan-nand,+inf+40.2101d,-nan+nanj,-nan-nand,+inf-79.5607d,-nan+nanj,-nan-nand
2009-01-01 00:52:00 PST,+inf+151.803d,-nan+nanj,-nan-nand,+inf-88.1078d,-nan+nanj,-nan-nand,+inf+31.6588d,-nan+nanj,-nan-nand
2009-01-01 00:53:00 PST,+inf+160.297d,-nan+nanj,-nan-nand,+inf+40.2063d,-nan+nanj,-nan-nand,+inf-79.5562d,-nan+nanj,-nan-nand
2009-01-01 00:54:00 PST,+inf+151.803d,-nan+nanj,-nan-nand,+inf-88.104d,-nan+nanj,-nan-nand,+inf+31.6543d,-nan+nanj,-nan-nand
2009-01-01 00:55:00 PST,+inf+160.297d,-nan+nanj,-nan-nand,+inf+40.2025d,-nan+nanj,-nan-nand,+inf-79.5516d,-nan+nanj,-nan-nand
2009-01-01 00:56:00 PST,+inf+151.804d,-nan+nanj,-nan-nand,+inf-88.1002d,-nan+nanj,-nan-nand,+inf+31.6498d,-nan+nanj,-nan-nand
2009-01-01 00:57:00 PST,+inf+160.296d,-nan+nanj,-nan-nand,+inf+40.1987d,-nan+nanj,-nan-nand,+inf-79.5471d,-nan+nanj,-nan-nand
2009-01-01 00:58:00 PST,+inf+151.805d,-nan+nanj,-nan-nand,+inf-88.0964d,-nan+nanj,-nan-nand,+inf+31.6452d,-nan+nanj,-nan-nand
2009-01-01 00:59:00 PST,+inf+160.295d,-nan+nanj,-nan-nand,+inf+40.1949d,-nan+nanj,-nan-nand,+inf-79.5426d,-nan+nanj,-nan-nand
